id;name;kanjiName;romajiName;englishLiteralName;englishTvName;description;picture;symbol
18;Kumogakure;?????;Kumogakure no Sato;Village Hidden by Clouds;The Village Hidden in the Clouds;"Kumogakure (?????, Kumogakure no Sato, English TV: Hidden Cloud Village, literally meaning: Village Hidden by Clouds) is the hidden village of the Land of Lightning and was founded by the First Raikage. As the village of one of the Five Great Shinobi Countries, Kumogakure has a Kage as its leader known as the Raikage, of which there have been five in its history. The village is located in a range of tall mountains, and is literally hidden in the clouds. The Raikage works in a large blue structure built into the tallest mountain.
The standard attire for Kumo shinobi consists of a long, grey top which gathers just at the waist to give a sash-like appearance, with a matching coloured bottom. Over this they wear white, one-strapped flak jackets and arm as well as shin-guards. Many Kumogakure ninja use Lightning Release techniques.";kumogakure.png;kumogakure_symbol.svg
19;Kusagakure;?????;Kusagakure no Sato;Village Hidden in the Grass;The Village Hidden in the Grass;"Kusagakure (?????, Kusagakure no Sato, literally meaning: Village Hidden in the Grass) is located thus far in an unnamed country. Because it had genin participating in the Ch?nin Exams organised by Konohagakure, it can be assumed the two villages are allied. Although it has never been named, the country Kusagakure is located in has been shown on several occasions. The country is rich with forests, some consisting of giant mushrooms or bamboo. It also seems to have many rivers and deep ravines.
During the Third Shinobi World War, the country was invaded by Iwagakure and served as an important front between Iwa and Konoha. More than a decade later, Orochimaru had a hideout somewhere in the country.";kusagakure.png;kusagakure_symbol.svg
20;Mount Katsuragi;;;;;;;
21;Mount Myōboku;;;;;;;
22;Nadeshiko Village;;;;;;;
23;Otogakure;;;;;;;
24;Ryūchi Cave;;;;;;;
25;Shangri-la;;;;;;;
26;Shikkotsu Forest;;;;;;;
27;Shimogakure;;;;;;;
28;Sugi Village;;;;;;;
29;Sunagakure;;;;;;;
30;Takigakure;;;;;;;
31;Takumi Village;???;Takumi no Sato;Village of Artisans;The Village of Artisans;Takumi Village (???, Takumi no Sato, literally meaning: Village of Artisans) is an anime-only village that resides in the Land of Rivers. It was founded approximately one hundred years ago by a man named Seimei. Takumi is known for its skills in making weaponry, many of which are sold to the ninja villages of the world. However, each time relations worsened between the larger villages, Takumi was attacked by one village over fear of their ninja tools crossing to the other village. Yet they still had to curry aid with the larger villages to survive. Over time, their clientele from the other villages grew in skill, making the crafted weapons obsolete. When the village faced hard times they requested help but were ignored. Certain skilled Takumi villagers grew resentful and felt the villages didn't respect them for all the help their weapons provided in the past, having repaid their aid with attacks in the past.;takumi_village.png;takumi_village_symbol.svg
32;Tanigakure;?????;Tanigakure no Sato;Village Hidden in Valleys;Hidden Valley Village;"Tanigakure (?????, Tanigakure no Sato, literally meaning: Village Hidden in Valleys) is the hidden village of the Land of Rivers.
Thirty years before the start of the series, this village ambushed Kager? Village two weeks after they had agreed to a ceasefire with Konohagakure. Genn? is the sole survivor of that attack, as he was in Konoha at the time.";;tanigakure_symbol.png
33;Tonika Village;????;Tonika-mura;Tonika Village;The Tonika Village;The Tonika Village (????, Tonika-mura) is a village located on the outskirts of the border of the Land of Fire. It is also where The Hole is located. The village was destroyed during Kabuto Yakushi's invasion which was geared towards acquiring The Hole to conduct his experiments. During the invasion, the villagers fought bravely to defend their home, but Kabuto's reincarnated pawns were too powerful and overwhelming. During this time, Dokku instructed Miina and Leo to flee to the Hach? Village, which is a friendly neighbouring town;tonika_village.png;
34;Tsuchigumo Village;;;Tsuchigumo Village;The Tsuchigumo Village;The Tsuchigumo village is the village of the Tsuchigumo clan. It is led by the Tsuchigumo chief. This village is composed of the members of the Tsuchigumo clan who refused to follow En no Gy?ja to Mount Katsuragi, and consequently denied the Tsuchigumo clan kinjutsu. They were made into pawns by the Magaki Group, who sought the kinjutsu.;tsuchigumo_village.png;tsuchigumo_symbol.svg
35;Tsukigakure;?????;Tsukigakure no Sato;Village Hidden under the Moon;The Village Hidden under the Moon;"Tsukigakure (?????, Tsukigakure no Sato, English: Hidden Moon Village, literally meaning: Village Hidden under the Moon) is a hidden village led by Tsukino, who succeeded her father after he died. They have a hereditary system and so positions are passed down to the next generation.
It is a custom for the people of Tsukigakure to always give strangers and newcomers warm welcomes, because of an old ancient legend of the village.";;getsugakure_symbol.svg
36;Uzushiogakure;??????;Uzushiogakure no Sato;Village Hidden by Whirling Tides;Hidden Eddy Village;"Uzushiogakure (??????, Uzushiogakure no Sato, English TV: Hidden Eddy Village, literally meaning: Village Hidden by Whirling Tides) was the shinobi village of the Land of Whirlpools. Its ninja were renowned for their f?injutsu to the point that it led to its destruction in war. 
Those who survived the village's destruction scattered across the globe to seek refuge";uzushio.png;uzushiogakure_symbol.svg
37;Yugakure;?????;Yugakure no Sato;Village Hidden in Hot Water;Village Hidden in the Hotsprings, Hidden Steam;"Yugakure (?????, Yugakure no Sato, literally meaning: Village Hidden in Hot Water) is the hidden village of the Land of Hot Water. Like the country in which it resides, Yugakure has strong inclinations towards pacifism. After years of reluctantly offering combat-related services, Yugakure officially transitioned away from the typical shinobi missions; it prides itself as the ""village that has forgotten wars"" (??????, Ikusa o Wasureta Sato). The village's ninja now work almost exclusively within the Land of Hot Water's borders, keeping the roads safe for tourists and performing odd-jobs for the many small settlements around the country.
Yugakure's transformation from a military force was not supported by all, Hidan being a notable objector. A follower of Jashin, Hidan believed violence was good, even necessary; when he couldn't convince the village to change its ways, he became a missing-nin, slaughtering many of his fellow Yu-nin before he left. In Konoha Shinden, critics of Yugakure's pacifism decry it as ""Nurumayugakure"" (??????, literally meaning: Village Hidden in Warm Water). In Sasuke Shinden, Yugakure's ninja acknowledge a flaw in its pursuit of peace, as the village has historically tended to ignore difficult subjects in order to avoid getting involved, Jashinists and the Chinoike clan being more glaring examples.
Yugakure is surrounded by several different hotsprings, and so thick steam rises up around the village. Many resort hotels are built throughout the area for the hotsprings' visitors to stay in.";yugakure.png;yugakure_symbol.svg
38;Yukigakure;?????;Yukigakure no Sato;Village Hidden Among Snow;The Village Hidden Among Snow;"Yukigakure (?????, Yukigakure no Sato, literally meaning: Village Hidden Among Snow) is a hidden village located in the Land of Snow. Its ninja apparently specialise in manipulating pre-existing ice, typically in the forms of various animals. The ninja from this village also make use of a number of sophisticated pieces of technology: First and foremost was the special ""Chakra Armour"", which protects the wearer from most attacks while amplifying the user's abilities. They also use of other devices, such as kunai firing volley guns, trains, airships and experimental devices, as well as some more exotic weaponry.";yukigakure.jpg;yukigakure_symbol.svg
39;Yumegakure;?????;Yumegakure no Sato;Village Hidden Among Dreams;The Village Hidden Among Dreams;"Yumegakure (?????, Yumegakure no Sato, literally meaning: Village Hidden Among Dreams) is a small village located in a deep forest of a tiny country, near the border of the Land of Fire. It is led by Enzo Tenr?. Ninja of this village seem to specialise in more powerful combat-oriented versions of the Transformation Technique. The village's forehead protector bears three ""Z"" symbols.
Before its destruction by the Fake Nine-Tails, the village was positioned in a flat valley surrounded by forests and mountains, with a bridged river running through it. The buildings were similar in architectural style to those of Japan's Edo period.";yumegakure.png;yumegakure_symbol.svg
